"Products","Status","Type","Sponsored Products eligibility","Sales(EUR)","ROAS","Conversion rate","Impressions","Clicks","CTR","Spend(EUR)","CPC(EUR)","Orders","ACOS","NTB orders","% of orders NTB","NTB sales(EUR)","% of sales NTB","Viewable impressions"
"B08YJLRHKX-PP0004","","","Eligible","0.00","0.00","0.0000","251","7","0.0279","0.49","0.07","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07VC6GXYT-SQ-H3G9-2L92","","","Eligible","0.00","0.00","0.0000","58","1","0.0172","0.03","0.03","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08T9K6Z5K-Z3-45IW-XP7B","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
